CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,type,Expenses,Is_Child,side,GroupSize,Siblings,AgeToTransported,CryoSleepInGroup,CryoSleepInFamily,DestinationToTransported,AgeClassToExpenses,MovementToCryoSleep,H_Earth,H_Europa,H_Mars,D_55 Cancri e,D_PSO J318.5-22,D_TRAPPIST-1e,d_A,d_B,d_C,d_D,d_E,d_F,d_G,d_T,A_0,A_1-4,A_13-17,A_18-42,A_43+,A_5-12,M_Earth -> 55 Cancri e,M_Earth -> PSO J318.5-22,M_Earth -> TRAPPIST-1e,M_Europa -> 55 Cancri e,M_Europa -> PSO J318.5-22,M_Europa -> TRAPPIST-1e,M_Mars -> 55 Cancri e,M_Mars -> PSO J318.5-22,M_Mars -> TRAPPIST-1e,Transported
0.0,0.4936708860759493,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.0,0.8404716665560492,0.5253269081393737,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.3037974683544304,0.0,0.007608012842884,0.0003018817294468,0.0010641920653839,0.0245001785076758,0.0018232296026188,0,0.0204518298274376,0,1.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.0,0.8404716665560492,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.7341772151898734,1.0,0.0030013261673762,0.1199476738335625,0.0,0.2996697607997144,0.0020304147847345,0,0.2885208547531053,0,1.0,0.1428571428571428,0.1428571428571428,0.0438844444363764,0.0,0.48780076476523,0.0,1.0,0.5253269081393737,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.4177215189873418,0.0,0.0,0.0430349176533726,0.0157926102502979,0.148563013209568,0.0079973480296689,0,0.1438297162864367,0,1.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.48780076476523,0.0,0.8404716665560492,0.5253269081393737,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.2025316455696202,0.0,0.0211488797375584,0.0023479690068091,0.0064277200749191,0.025214209210996,8.287407284631003e-05,0,0.0303165031817045,0,1.0,0.0,0.0,0.2549001080710793,0.0,0.0726138664371003,0.0,0.4285947999775784,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5569620253164557,0.0,0.0,0.0162009861469828,0.0,0.0129864334166369,0.0,0,0.0215077666935282,0,0.0,0.0,0.0,0.0438844444363764,0.0,0.0726138664371003,0.2290948774844143,1.0,0.8582019427570491,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.3291139240506329,0.0,0.002931527884414,0.0516217757354174,0.000127703047846,0.0,0.0,0,0.0440158946286158,0,1.0,0.1428571428571428,0.1428571428571428,0.0,0.5,0.48780076476523,0.0,0.8404716665560492,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3544303797468354,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0.1428571428571428,0.1428571428571428,0.0,0.5,0.48780076476523,0.0,0.8404716665560492,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.4430379746835443,0.0,0.0,0.026330795290645,0.000723650604461,0.0096394144948232,0.0,0,0.02828799288632,0,1.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.0,0.8404716665560492,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1772151898734177,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2857142857142857,0.2857142857142857,0.2549001080710793,0.6666667,0.6121428685300703,0.9999999999999996,0.4285947999775784,0.883850436558208,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.430379746835443,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.6666667,0.6121428685300703,0.0,0.8404716665560492,0.5253269081393737,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.569620253164557,0.0,0.0027221330355273,0.2446919129238922,0.0250723650604461,0.0049089610853266,0.0051381925164712,0,0.2266651846500125,0,0.0,0.2857142857142857,0.2857142857142857,0.0438844444363764,0.6666667,0.6121428685300703,0.9999999999999996,1.0,0.883850436558208,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.4050632911392405,0.0,0.0050952746562434,0.0,0.0478035075770475,0.0,0.0046823851158165,0,0.0363742462555922,0,0.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.0,0.8404716665560492,0.5038509108035845,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6075949367088608,0.0,0.0501849654498499,3.3542414382987286e-05,0.0027668993699982,0.0,0.0009944888741557,0,0.0224803401228221,0,1.0,0.0,0.0,0.0438844444363764,0.0,0.0726138664371003,0.0,1.0,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3544303797468354,0.0,0.0005583862636979,0.0326703116090296,0.0005108121913843,8.925383791503035e-05,0.000290059254962,0,0.0278711757023369,0,0.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.0,0.8404716665560492,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.3924050632911392,0.0,0.0022335450547916,0.0,0.0372892899710539,0.0,0.0,0,0.0252313335371106,0,0.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.0,0.8404716665560492,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3417721518987341,0.0,0.0897605918894395,0.0040921745547244,0.0217604068012566,0.0,0.0,0,0.0533302436039436,0,0.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.9999999999999996,0.8404716665560492,0.5846983387158904,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3037974683544304,0.0,0.0,3.3542414382987286e-05,0.0,0.0,0.0263953922015497,0,0.0177286242254147,0,0.0,0.0,0.0,0.0,0.0,0.0726138664371003,0.9999999999999996,0.8404716665560492,0.2579608509802784,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.569620253164557,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0438844444363764,1.0,0.0726138664371003,0.0,1.0,0.5038509108035845,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.1428571428571428,0.1428571428571428,1.0000000000000002,0.0,0.48780076476523,0.0,0.0,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1772151898734177,0.0,0.0287568925804425,0.0,4.256768261535842e-05,0.0,0.0281357477313222,0,0.03034429099397,0,0.0,0.1428571428571428,0.1428571428571428,0.2549001080710793,0.0,0.48780076476523,0.9999999999999996,0.4285947999775784,0.2579608509802784,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0126582278481012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,0.7142857142857142,0.2857142857142857,0.7991874380753481,0.6666667,0.6121428685300703,0.0,0.0,0.0913341628153404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
