PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,type,Expenses,Surname,Is_Child,deck,side,GroupId,PassengerNum,GroupSize,Siblings,AgeClass,AgeToTransported,CryoSleepInGroup,CryoSleepInFamily,DestinationToTransported,AgeClassToExpenses,Movement,MovementToCryoSleep
0001_01,Europa,0.0,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Ofracculy,0,B,P,1,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Europa -> TRAPPIST-1e,0.4031903
0002_01,Earth,0.0,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,0,736.0,Vines,0,F,S,2,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0003_01,Europa,0.0,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,0,10383.0,Susent,0,A,S,3,1,2,2,43+,0.4897324206596142,0.0,0.39817518,0.4721994423486961,1930.852210892215,Europa -> TRAPPIST-1e,0.4031903
0003_02,Europa,0.0,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,0,5176.0,Susent,0,A,S,3,2,2,2,18-42,0.47507897507897506,0.0,0.39817518,0.4721994423486961,1622.826575562012,Europa -> TRAPPIST-1e,0.4031903
0004_01,Earth,0.0,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,0,1091.0,Santantines,0,F,S,4,1,1,1,13-17,0.5601926163723917,0.0,0.32525358,0.4721994423486961,827.553217113614,Earth -> TRAPPIST-1e,0.26738608
0005_01,Earth,0.0,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,0,774.0,Hinetthews,0,F,P,5,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.5037688442211056,1930.852210892215,Earth -> PSO J318.5-22,0.50735295
0006_01,Earth,0.0,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,0,1584.0,Jacostaffey,0,F,S,6,1,2,2,18-42,0.47507897507897506,0.5,0.39817518,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0006_02,Earth,1.0,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Jacostaffey,0,G,S,6,2,2,2,18-42,0.47507897507897506,0.5,0.39817518,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0007_01,Earth,0.0,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,0,1018.0,Beston,0,F,S,7,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0008_01,Europa,1.0,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Flatic,0,B,P,8,1,3,3,13-17,0.5601926163723917,0.6666667,0.42001408,0.61,827.553217113614,Europa -> 55 Cancri e,0.51537883
0008_02,Europa,1.0,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Flatic,0,B,P,8,2,3,3,18-42,0.47507897507897506,0.6666667,0.42001408,0.4721994423486961,1622.826575562012,Europa -> TRAPPIST-1e,0.4031903
0008_03,Europa,0.0,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,0,8157.0,Flatic,0,B,P,8,3,3,3,43+,0.4897324206596142,0.6666667,0.42001408,0.61,1930.852210892215,Europa -> 55 Cancri e,0.51537883
